point,seed,steps,loss
0,2,5,0.2544341
1,2,5,0.5454466
2,2,5,1.1164001
3,2,5,0.04297142
4,2,5,2.5027118
5,2,5,0.42244995
6,2,5,0.088024735
7,2,5,2.4989972
8,2,5,0.108131796
9,2,5,5.524048
10,2,5,0.6680941
11,2,5,2.1125865
12,2,5,0.14909683
13,2,5,0.5192993
14,2,5,0.06269248
15,2,5,1.3143722
16,2,5,3.96139
17,2,5,2.9239593
18,2,5,2.7167492
19,2,5,0.020841328
20,2,5,0.12490065
21,2,5,4.946793
22,2,5,0.7222018
23,2,5,0.025837615
24,2,5,2.6629424
25,2,5,4.6576524
26,2,5,0.22427651
27,2,5,1.7692666
28,2,5,0.7649904
29,2,5,3.3392878
30,2,5,1.3605784
31,2,5,4.7590313
0,2,10,0.38855788
1,2,10,0.807712
2,2,10,1.3226339
3,2,10,0.046960782
4,2,10,3.0209837
5,2,10,0.8525888
6,2,10,0.11429107
7,2,10,3.4173732
8,2,10,0.12785909
9,2,10,5.8159857
10,2,10,0.9243926
11,2,10,2.5668054
12,2,10,0.24775094
13,2,10,0.8871561
14,2,10,0.08632966
15,2,10,2.0893717
16,2,10,4.9403896
17,2,10,3.272465
18,2,10,3.8135378
19,2,10,0.022607613
20,2,10,0.16231635
21,2,10,5.966291
22,2,10,1.7743131
23,2,10,0.02861478
24,2,10,2.96375
25,2,10,5.288023
26,2,10,0.4092152
27,2,10,2.2309637
28,2,10,0.9686767
29,2,10,3.517236
30,2,10,2.0702481
31,2,10,5.692045
0,2,50,0.58209074
1,2,50,0.96739525
2,2,50,1.3220139
3,2,50,0.07583305
4,2,50,3.142989
5,2,50,1.2215189
6,2,50,0.13082743
7,2,50,4.4727535
8,2,50,0.13032588
9,2,50,5.8721714
10,2,50,1.080731
11,2,50,2.7194667
12,2,50,0.7801974
13,2,50,1.1735516
14,2,50,0.10907325
15,2,50,2.7327754
16,2,50,5.1700053
17,2,50,3.373313
18,2,50,3.998532
19,2,50,0.023470879
20,2,50,0.18714023
21,2,50,6.297657
22,2,50,2.3854954
23,2,50,0.027124034
24,2,50,3.0304177
25,2,50,5.4573693
26,2,50,0.73302543
27,2,50,2.3552008
28,2,50,1.0136976
29,2,50,3.5898104
30,2,50,2.2882183
31,2,50,5.8580265
0,2,100,0.60848534
1,2,100,0.9652057
2,2,100,1.3338912
3,2,100,0.085894406
4,2,100,3.1399357
5,2,100,1.2122704
6,2,100,0.1350947
7,2,100,4.4894776
8,2,100,0.12868974
9,2,100,5.8717265
10,2,100,1.0696825
11,2,100,2.7084284
12,2,100,0.79202116
13,2,100,1.1861491
14,2,100,0.10858528
15,2,100,2.7800708
16,2,100,5.188299
17,2,100,3.3749137
18,2,100,3.9992359
19,2,100,0.023546774
20,2,100,0.18807043
21,2,100,6.3047585
22,2,100,2.3811898
23,2,100,0.026870381
24,2,100,3.0180228
25,2,100,5.458556
26,2,100,0.7438854
27,2,100,2.359065
28,2,100,1.0139257
29,2,100,3.5903833
30,2,100,2.2754946
31,2,100,5.908507
0,2,200,0.61463207
1,2,200,0.961131
2,2,200,1.3376362
3,2,200,0.085680634
4,2,200,3.13839
5,2,200,1.2137787
6,2,200,0.12905766
7,2,200,4.47276
8,2,200,0.128486
9,2,200,5.8605776
10,2,200,1.0776806
11,2,200,2.7124784
12,2,200,0.80844337
13,2,200,1.1884627
14,2,200,0.10869654
15,2,200,2.7729642
16,2,200,5.193057
17,2,200,3.367775
18,2,200,4.0001135
19,2,200,0.023028975
20,2,200,0.18570189
21,2,200,6.3134394
22,2,200,2.402267
23,2,200,0.027282633
24,2,200,3.0112793
25,2,200,5.4555235
26,2,200,0.74064416
27,2,200,2.3712006
28,2,200,1.0129054
29,2,200,3.5848713
30,2,200,2.2708993
31,2,200,5.8859806
0,2,500,0.61503613
1,2,500,0.96556276
2,2,500,1.3238671
3,2,500,0.08873197
4,2,500,3.1418428
5,2,500,1.2055418
6,2,500,0.13005988
7,2,500,4.483304
8,2,500,0.12629451
9,2,500,5.8630676
10,2,500,1.0846623
11,2,500,2.7124693
12,2,500,0.8046947
13,2,500,1.1777877
14,2,500,0.10840305
15,2,500,2.7618017
16,2,500,5.1965666
17,2,500,3.3688016
18,2,500,3.9981773
19,2,500,0.024073716
20,2,500,0.18482892
21,2,500,6.326434
22,2,500,2.4023414
23,2,500,0.02680545
24,2,500,3.000955
25,2,500,5.463543
26,2,500,0.74621445
27,2,500,2.3642488
28,2,500,1.0172803
29,2,500,3.5963266
30,2,500,2.2871466
31,2,500,5.874714
0,3,1,0.16033153
1,3,1,0.3413402
2,3,1,0.8154532
3,3,1,0.036811285
4,3,1,1.9047688
5,3,1,0.14498545
6,3,1,0.069284245
7,3,1,1.6445496
8,3,1,0.079184026
9,3,1,5.0531607
10,3,1,0.40509623
11,3,1,1.5277014
12,3,1,0.101430014
13,3,1,0.23970725
14,3,1,0.045948714
15,3,1,0.6021216
16,3,1,2.66978
17,3,1,2.4337752
18,3,1,1.1492499
19,3,1,0.016701508
20,3,1,0.089871496
21,3,1,3.0150614
22,3,1,0.2734496
23,3,1,0.022599919
24,3,1,2.2150187
25,3,1,3.7332866
26,3,1,0.11892175
27,3,1,1.1940322
28,3,1,0.539412
29,3,1,3.0276723
30,3,1,0.660433
31,3,1,3.3699362
0,3,2,0.17852268
1,3,2,0.3868281
2,3,2,0.89257765
3,3,2,0.037933648
4,3,2,2.0722995
5,3,2,0.19201496
6,3,2,0.07122026
7,3,2,1.8845618
8,3,2,0.08728176
9,3,2,5.201493
10,3,2,0.48410678
11,3,2,1.687444
12,3,2,0.11286408
13,3,2,0.29982784
14,3,2,0.04900842
15,3,2,0.7717915
16,3,2,3.0150576
17,3,2,2.5627644
18,3,2,1.5667851
19,3,2,0.017608851
20,3,2,0.099731356
21,3,2,3.6223264
22,3,2,0.33665052
23,3,2,0.023190906
24,3,2,2.3366363
25,3,2,4.004419
26,3,2,0.13936526
27,3,2,1.3400478
28,3,2,0.59133506
29,3,2,3.1301262
30,3,2,0.80831414
31,3,2,3.7778113
0,3,5,0.25185955
1,3,5,0.5469715
2,3,5,1.1010289
3,3,5,0.04281596
4,3,5,2.4978776
5,3,5,0.41289344
6,3,5,0.09048783
7,3,5,2.5022087
8,3,5,0.10680172
9,3,5,5.5268607
10,3,5,0.68547434
11,3,5,2.121677
12,3,5,0.14275089
13,3,5,0.51609457
14,3,5,0.06312336
15,3,5,1.3144608
16,3,5,3.9344366
